,,
"(Asked of independents) As of today, do you lean more to the Democratic Party or the Republican Party?",,
Figures are combined party identifiers + leaners,,
,Republicans + Republican leaners,Democrats + Democratic leaners
,%,%
2015 Aug 5-9,43,45
2015 Jul 8-12,41,47
2015 Jun 2-7,43,45
2015 May 6-10,42,45
2015 Apr 9-12,38,47
2015 Mar 6-9,44,42
2015 Feb 8-11,43,44
2015 Jan 5-8,44,43
2014 Dec 8-11,41,45
2014 Nov 6-9,47,41
2014 Oct 29-Nov 2,41,46
2014 Oct 12-15,47,41
2014 Sep 25-30,44,48
2014 Sep 4-7,47,42
2014 Aug 7-10,42,46
2014 Jul 7-10,40,42
2014 Jun 5-8,44,44
2014 May 8-11,40,47
2014 Apr 24-30,41,48
2014 Apr 3-6,41,43
2014 Mar 6-9,42,47
2014 Feb 6-9,40,47
2014 Jan 5-8,40,45
2013 Dec 5-8,42,44
2013 Nov 7-10,39,45
2013 Oct 3-6,38,48
2013 Sep 5-8,41,47
2013 Aug 7-11,41,44
2013 Jul 10-14,40,46
2013 Jun 20-24,43,46
2013 Jun 1-4,43,46
2013 May 2-7,41,48
2013 Apr 4-14,40,49
2013 Mar 7-10,41,48
2013 Feb 7-10,42,48
2013 Jan 7-10,40,49
2012 Dec 27-30,39,47
2012 Dec 19-22,36,53
2012 Dec 14-17,41,49
2012 Nov 26-29,44,46
2012 Nov 15-18,39,50
2012 Nov 9-12,40,50
2012 Nov 1-4,42,50
2012 Sep 24-27,43,50
2012 Sep 6-9,42,51
2012 Aug 20-22,46,49
2012 Aug 9-12,41,44
2012 Jul 19-22,47,45
2012 Jul 9-12,41,46
2012 Jun 7-10,42,44
2012 May 10-13,45,46
2012 May 3-5,41,47
2012 Apr 9-12,43,47
2012 Mar 8-11,41,46
2012 Feb 16-19,45,45
2012 Feb 2-5,44,45
2012 Jan 5-8,44,47
2011 Dec 15-18,45,45
2011 Nov 28-Dec 1,43,43
2011 Nov 3-6,41,50
2011 Oct 6-9,45,43
2011 Sep 15-18,40,49
2011 Sep 8-11,48,44
2011 Aug 11-14,47,40
2011 Aug 4-7,44,50
2011 Jul 12-15,42,47
2011 Jul 7-10,47,44
2011 Jun 9-12,47,42
2011 May 5-8,43,46
2011 Apr 20-23,46,46
2011 Apr 7-11,46,43
2011 Mar 25-27,42,46
2011 Mar 3-6,45,43
2011 Feb 2-5,44,49
2011 Jan 14-16,47,43
2011 Jan 7-9,45,44
2010 Dec 10-12,48,44
2010 Nov 19-21,49,42
2010 Nov 4-7,44,47
2010 Oct 28-31,43,44
2010 Oct 21-24,43,45
2010 Oct 14-17,45,43
2010 Oct 7-10,43,44
2010 Sep 30-Oct 3,43,44
2010 Sep 23-26,44,43
2010 Sep 13-16,48,42
2010 Aug 27-30,47,45
2010 Aug 5-8,43,44
2010 Jul 27-Aug 1,44,42
2010 Jul 8-11,41,46
2010 Jun 11-13,42,47
2010 May 24-25,43,48
2010 May 3-6,45,44
2010 Apr 8-11,42,46
2010 Mar 26-28,46,46
2010 Mar 4-7,44,45
2010 Feb 1-3,45,46
2010 Jan 8-10,43,48
2009 Dec 11-13,43,49
2009 Oct 16-19,41,47
2009 Oct 1-4,43,46
2009 Sep 11-13,43,47
2009 Aug 31-Sep 2,43,49
2009 Aug 6-9,43,47
2009 Jul 17-19,41,48
2009 Jul 10-12,42,50
2009 Jun 14-17,41,48
2009 May 29-31,39,48
2009 May 7-10,45,45
2009 Apr 20-21,39,50
2009 Apr 6-9,34,53
2009 Mar 27-29,40,51
2009 Mar 5-8,35,53
2009 Feb 20-22,39,51
2009 Feb 9-12,39,51
2009 Jan 30-Feb 1,38,53
2009 Jan 9-11,41,51
2008 Dec 12-14,35,52
2008 Dec 4-7,39,51
2008 Nov 13-16,37,55
2008 Nov 7-9,40,51
2008 Oct 23-26,45,48
2008 Oct 10-12,41,52
2008 Oct 3-5,40,50
2008 Sep 26-27,40,50
2008 Sep 8-11,43,50
2008 Sep 5-7,47,48
2008 Aug 21-23,40,53
2008 Aug 7-10,40,50
2008 Jul 25-27,41,48
2008 Jul 10-13,37,47
2008 Jun 15-19,40,51
2008 Jun 9-12,41,49
2008 May 30-Jun1,39,53
2008 May 8-11,40,52
2008 May 1-3,42,53
2008 Apr 18-20,39,56
2008 Apr 6-9,36,55
2008 Mar 14-16,41,53
2008 Mar 6-9,38,53
2008 Feb 21-24,38,53
2008 Feb 11-14,38,54
2008 Feb 8-10,39,54
2008 Jan 30-Feb 2,40,51
2008 Jan 10-13,39,52
2008 Jan 4-6,39,51
2007 Dec 14-16,38,52
2007 Dec 6-9,41,44
2007 Nov 30-Dec 2,42,48
2007 Nov 11-14,35,49
2007 Nov 2-4,38,54
2007 Oct 12-14,39,52
2007 Oct 4-7,40,48
2007 Sep 14-16,39,54
2007 Sep 7-8,38,52
2007 Aug 13-16,41,47
2007 Aug 3-5,40,48
2007 Jul 12-15,40,49
2007 Jul 6-8,37,53
2007 Jun 11-14,37,53
2007 Jun 1-3,42,48
2007 May 10-13,39,52
2007 May 4-6,41,49
2007 Apr 13-15,42,52
2007 Apr 2-5,42,49
2007 Mar 23-25,41,51
2007 Mar 11-14,41,48
2007 Mar 2-4,39,52
2007 Feb 9-11,40,52
2007 Feb 1-4,37,54
2007 Jan 15-18,38,52
2007 Jan 12-14,41,53
2007 Jan 5-7,40,53
2006 Dec 11-14,40,53
2006 Dec 8-10,40,50
2006 Nov 9-12,34,56
2006 Nov 2-5,39,49
2006 Oct 20-22,39,54
2006 Oct 9-12,38,48
2006 Oct 6-8,37,56
2006 Sep 15-17,42,50
2006 Sep 7-10,40,51
2006 Aug 18-20,43,48
2006 Aug 7-10,39,51
2006 Jul 28-30,40,52
2006 Jul 21-23,39,49
2006 Jul 6-9,40,49
2006 Jun 23-26,38,55
2006 Jun 9-11,42,50
2006 Jun 1-4,43,50
2006 May 12-13,39,48
2006 May 8-11,40,48
2006 May 5-7,38,49
2006 Apr 28-30,40,54
2006 Apr 10-13,39,50
2006 Apr 7-9,41,53
2006 Mar 13-16,38,48
2006 Mar 10-12,41,52
2006 Feb 28-Mar 1,41,50
2006 Feb 9-12,42,49
2006 Feb 6-9,44,45
2006 Jan 20-22,42,51
2006 Jan 9-12,44,46
2006 Jan 6-8,45,48
2005 Dec 19-22,39,47
2005 Dec 16-18,43,48
2005 Dec 9-11,43,48
2005 Dec 5-8,44,46
2005 Nov 17-20,41,48
2005 Nov 11-13,41,52
2005 Nov 7-10,44,46
2005 Oct 28-30,42,47
2005 Oct 24-26,41,50
2005 Oct 21-23,45,49
2005 Oct 13-16,39,52
2005 Sep 26-28,43,47
2005 Sep 16-18,38,53
2005 Sep 12-15,44,48
2005 Sep 8-11,44,47
2005 Aug 28-30,42,50
2005 Aug 22-25,38,50
2005 Aug 8-11,44,45
2005 Aug 5-7,44,46
2005 Jul 25-28,39,51
2005 Jul 22-24,43,49
2005 Jul 7-10,41,50
2005 Jun 29-30,37,51
2005 Jun 24-26,42,49
2005 Jun 16-19,43,47
2005 Jun 6-8,45,45
2005 May 23-26,43,43
2005 May 20-22,40,51
2005 May 2-5,45,48
2005 Apr 29-May 1,44,47
2005 Apr 18-21,43,49
2005 Apr 1-2,46,46
2005 Mar 21-23,42,50
2005 Mar 18-20,48,43
2005 Mar 7-10,46,46
2005 Feb 25-27,48,45
2005 Feb 21-24,46,43
2005 Feb 7-10,44,50
2005 Feb 4-6,52,41
2005 Jan 14-16,45,46
2005 Jan 7-9,43,49
2005 Jan 3-5,45,48
2004 Dec 17-19,45,48
2004 Dec 5-8,48,45
2004 Nov 19-21,50,43
2004 Nov 7-10,48,48
2004 Oct 29-31,44,49
2004 Oct 22-24,46,49
2004 Oct 14-16,50,46
2004 Oct 11-14,46,48
2004 Oct 9-10,46,48
2004 Oct 1-3,45,49
2004 Sep 24-26,50,44
2004 Sep 13-15,47,47
2004 Sep 3-5,49,46
2004 Aug 23-25,46,46
2004 Aug 9-11,47,47
2004 Jul 30-Aug 1,46,49
2004 Jul 19-21,46,47
2004 Jul 8-11,43,49
2004 Jun 21-23,43,50
2004 Jun 3-6,43,49
2004 May 21-23,42,49
2004 May 7-9,42,50
2004 May 2-4,44,50
2004 Apr 16-18,44,48
2004 Apr 5-8,44,48
2004 Mar 26-28,46,45
2004 Mar 8-11,42,49
2004 Mar 5-7,44,50
2004 Feb 16-17,43,50
2004 Feb 9-12,45,48
2004 Feb 6-8,46,47
2004 Jan 29-Feb 1,44,51
2004 Jan 12-15,43,49
2004 Jan 9-11,45,46
2004 Jan 2-5,48,46
